letters,panagrams
MACIOTX,AXIOMATIC
ABIRTUY,TRIBUTARY
OAEFGLP,FLAGPOLE
UAELNTX,EXULTANT
ACDIJLU,JUDICIAL
KABCOTU,OUTBACK
UACKLNO,UNCLOAK
VAEGINW,WEAVING
EACLNOW,ALLOWANCE
NABLOTY,NOTABLY
CEFINTV,INEFFECTIVE|INFECTIVE
FEGILNU,ENGULFING|FUELING|FUNNELING|UNFEELING
MEILNPT,IMPLEMENT
OAGHPRT,PHOTOGRAPH
BDEGILO,OBLIGED
UADLMOR,MODULAR
IAEGLTY,ILLEGALITY|LEGALITY
BAILNPT,PAINTBALL
DACGINR,CARDIGAN|CARDING
VEILNOT,NONVIOLENT|VIOLENT
RACDHIN,ARACHNID
GEIMNTZ,ITEMIZING
MDEILNW,WINDMILLED
IACENTY,TENACITY
VDELNOP,ENVELOPED
HABILTU,HABITUAL|HALIBUT
IACFLNU,FANCIFUL
EAIKLTV,TALKATIVE
CAINRTU,CURTAIN|TACITURN
IABLTVY,AVAILABILITY|LIVABILITY|VIABILITY
YAEHNPT,HYPHENATE
NAIJORT,JANITOR
ODIMRTY,DORMITORY
GACIKMN,NICKNAMING
RADGNOU,AGROUND
IDENOPW,PINEWOOD
HABLMOT,MOTHBALL
PCEMNOT,COMPETENCE|COMPETENT|COMPONENT|CONTEMPT|NONCOMPETE
FABEILX,FIXABLE
IACHNTY,HYACINTH
OADEGPY,PEDAGOGY
GBHORTU,BROUGHT
DACINOR,ACCORDION|DRACONIAN|DRACONIC
CIKLPRY,PRICKLY
PCDEHIU,HICCUPED|HICCUPPED
TGILNPY,PITYINGLY
PAEHLUV,UPHEAVAL
NADILUV,INDIVIDUAL
PELNOTU,OPULENT
IACEHMT,MATHEMATIC|THEMATIC
BDEIMOV,DIVEBOMB|DIVEBOMBED
ADILNTU,ALTITUDINAL|ATTITUDINAL|LATITUDINAL
HCDELTU,CLUTCHED
NAGHMOY,MAHOGANY
BAEILNP,BIPLANE|PLEBEIAN
PAEMNTY,PAYMENT
GIKNOUW,UNKNOWING
RABDIJL,JAILBIRD
BAEKMNT,EMBANKMENT
VACEINT,INACTIVATE|INACTIVE|VACCINATE
FAGIKLN,FLAKING|FLANKING
AGHLOTU,ALTHOUGH
NEFILOX,FLEXION
MEINOTZ,MEZZOTINT|MONETIZE
EIMOTVY,EMOTIVITY
UADELNQ,UNEQUALED
CAILNPT,APPLICANT
HADELTY,DEATHLY|HEATEDLY
AGLMORU,GLAMOUR
IADEMTY,DAYTIME
VDELNOU,UNEVOLVED|UNLOVED
NCDEOVY,CONVEYED|CONVOYED
IACOPRT,APRICOT|CAPACITOR|PATRIOTIC
OAFLRUV,FLAVORFUL
NEGHIWZ,WHEEZING
OGHLMTY,MYTHOLOGY
PDEITUZ,DEPUTIZE|DEPUTIZED
TDEFGIY,FIDGETY
UACLORT,CALCULATOR|COLORATURA
FIMORTY,MORTIFY
CDELNOW,CLOWNED
FACEPTY,TYPEFACE
AMORTWY,MOTORWAY
PCENOTY,POTENCY
ODEFTUX,OUTFOXED
YABGINR,BRAYING
LBFGORU,BULLFROG
KABCEIL,CLICKABLE
TACILMN,ANTICLIMACTIC|CLAIMANT
OBCEKPT,POCKETBOOK
NAFIMRY,INFIRMARY
ACIMRTU,TRAUMATIC
DCIMOTY,COMMODITY
CDEFNOU,COFOUNDED|CONFOUNDED
MACDEIY,IMMEDIACY
PEGINUX,EXPUNGING
MEKNPTU,UNKEMPT
BACDILO,DIABOLIC|DIABOLICAL
PAGIKLN,PAINKILLING|PLANKING
WCDEKLO,WEDLOCK
YAEGLNO,GENEALOGY
UABELMT,AMBULATE|AMBULETTE|MUTABLE
HAGINPR,GRAPHING|HARPING|PARAGRAPHING
EJMNOTY,ENJOYMENT
LDIORWY,ROWDILY|WORDILY
LEIMNTY,EMINENTLY|IMMINENTLY
NCDEHLU,LUNCHED|UNCLENCHED
MEFILOT,LEITMOTIF
IALRTUV,VIRTUAL
WADELNO,DOWNLOADED
RACJLOU,JOCULAR
NCEIMTX,EXCITEMENT
HEGILNT,ENLIGHTEN|ENLIGHTENING|LENGTHENING|LIGHTEN|LIGHTENING
DABGILN,BALDING|BLADING|DABBLING
YABELOV,LOVEABLY|VOLLEYBALL
FBDEINT,BENEFITED|BENEFITTED
ICDMNOU,CONDOMINIUM
CAELNPT,PENTACLE|PLACENTA|PLACENTAL
ADINOTX,ANTIOXIDANT|OXIDANT|OXIDATION
LADFINW,WINDFALL
PBELOTY,POTBELLY
GAELOTV,VOLTAGE
IACFLOR,CALORIFIC
ACGILOZ,ZOOLOGICAL
TABNOUY,BUOYANT
CABFIKL,BACKFILL
NAEHMOP,PHENOMENA
CAINQTU,ACQUAINT
FCEGINT,EFFECTING|INFECTING
VACENOT,COVENANT
CADEHLN,CHANNELED|DANCEHALL
LADHINY,HANDILY
PCDEMOT,COMPETED
HEILNOT,HOTLINE|NEOLITH
ACEGKMO,GAMECOCK
LBGINRU,BLURRING|BULLRING|BURBLING|BURGLING
NBHIORT,INHIBITOR
BACEILM,AMICABLE|CLAIMABLE|CLIMBABLE
HACIRTU,HAIRCUT
PADEINX,APPENDIX
BACMNOT,COMBATANT|NONCOMBATANT
TCDEIUV,DEDUCTIVE
FDEINTU,FINITUDE|INFINITUDE|UNFITTED|UNIDENTIFIED
CBDEKLO,BLOCKED
GABLNOT,LONGBOAT
EGIKNOV,EVOKING
